"","file","batch","trt"
"1","AF","A","F"
"2","BF","B","F"
"3","CF","C","F"
"4","DF","D","F"
"5","EF","E","F"
"6","FF","F","F"
"7","AL","A","L"
"8","BL","B","L"
"9","CL","C","L"
"10","DL","D","L"
"11","EL","E","L"
"12","FL","F","L"
"13","AR","A","R"
"14","BR","B","R"
"15","CR","C","R"
"16","DR","D","R"
"17","ER","E","R"
"18","FR","F","R"
"19","AS","A","S"
"20","BS","B","S"
"21","CS","C","S"
"22","DS","D","S"
"23","ES","E","S"
"24","FS","F","S"
"25","AO","A","O"
"26","BO","B","O"
"27","CO","C","O"
"28","DO","D","O"
"29","EO","E","O"
"30","FO","F","O"
